ID,exp,sf.cf.perceptual.rating,sf.cf.causal.rating,sf.cn.perceptual.rating,sf.cn.causal.rating,sn.cf.perceptual.rating,sn.cf.causal.rating,sn.cn.perceptual.rating,sn.cn.causal.rating,q.type,
1,1,90,90,50,90,50,90,40,40,1,
2,1,0,70,40,70,50,80,60,80,1,
3,1,100,100,85,100,75,100,80,100,1,
4,1,100,100,60,100,80,100,70,100,1,
5,0,90,80,60,85,30,70,50,50,0,
6,0,70,80,40,70,30,70,50,70,0,
7,0,100,100,50,100,50,100,50,50,0,
8,0,90,90,90,30,70,70,90,70,1,
9,0,90,95,35,90,60,85,20,75,1,
10,0,100,95,90,80,90,70,90,75,1,
11,0,100,90,100,75,100,75,100,50,1,
12,0,90,100,85,100,85,90,85,100,0,
13,0,70,90,80,100,75,80,70,100,0,
14,0,90,95,95,100,85,95,90,95,0,
15,1,90,80,60,80,40,80,50,80,0,
16,1,25,100,75,100,25,100,50,100,0,
17,0,100,95,95,70,95,75,95,75,1,
18,0,50,80,100,85,100,80,100,75,1,
19,0,100,80,100,60,100,50,100,60,1,
20,0,100,100,50,50,100,25,75,50,1,
21,0,80,100,75,50,80,100,75,25,0,
22,0,100,100,100,50,100,50,100,50,1,
23,0,100,90,100,90,100,90,100,90,1,
24,0,100,100,100,100,90,90,90,90,1,
25,0,65,80,70,80,70,100,100,100,0,
26,0,100,100,95,85,60,80,75,80,1,
27,0,60,0,50,0,80,0,60,0,0,
28,1,60,80,40,60,70,75,70,50,0,
29,0,67,84,65,83,65,83,72,85,0,
30,0,60,45,85,50,70,85,90,95,0,
31,0,100,100,90,50,90,20,90,50,0,
32,1,75,80,70,80,50,80,75,80,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
